clean_text,file,label,height,width,fps,start,end,cleaned_url
hello,American Sign Language Learning the basics.mp4,0,360,640,29.97,1874,1903,https://www.youtube.com/watch?v=yG09SQB0Hds
hello,Unit 1 Vocabulary(2).mp4,0,360,640,29.97,280,362,https://www.youtube.com/watch?v=7YYB3BEoksc
hello,Unit 1 Vocabulary(2).mp4,0,360,640,29.97,250,277,https://www.youtube.com/watch?v=7YYB3BEoksc
hello,ASL Vocabulary hello.mp4,0,360,640,29.97,110,150,https://www.youtube.com/watch?v=9jUuFHB2m4M
hello,ASL Vocabulary hello.mp4,0,360,640,29.97,30,80,https://www.youtube.com/watch?v=9jUuFHB2m4M
hello,ASL Numbers 1 10   Arkansas School for the Deaf.mp4,0,360,480,29.97,347,381,https://www.youtube.com/watch?v=gU5EI_ZTzxw
hello,American Sign Language Learning the basics.mp4,0,360,640,29.97,540,569,https://www.youtube.com/watch?v=yG09SQB0Hds
hello,Signing Naturally Unit 1 Vocabulary.mp4,0,720,1280,25.0,252,374,https://www.youtube.com/watch?v=JHFExZgYdwk&t=4s
hello,Unit 1 Vocabulary(3).mp4,0,360,640,25.0,9796,9995,https://www.youtube.com/watch?v=75BkNdtDsoQ
hello,hello.mp4,0,360,640,29.97,0,91,https://www.youtube.com/watch?v=WbkSmhKTltU
hello,ASL Vocabulary (Spring 2018).mp4,0,720,1280,29.97,2789,2841,https://www.youtube.com/watch?v=p36hZJQpLoQ
hello,Introductions.mp4,0,720,1280,29.97,217,295,https://www.youtube.com/watch?v=wRoGQu75wzw
hello,Introductions.mp4,0,720,1280,29.97,143,205,https://www.youtube.com/watch?v=wRoGQu75wzw
hello,deaffriendly ASL Vocabulary - Hotel.mp4,0,720,1080,28.78,0,134,https://www.youtube.com/watch?v=WxY7E9P46DM
hello,ASL UNIT 1 VOCAB  signing naturally.mp4,0,320,568,30.0,6608,6675,https://www.youtube.com/watch?v=3zoqSvF0Z2A
hello,Unit 1 Vocabulary(1).mp4,0,360,640,23.976,38,82,https://www.youtube.com/watch?v=dbzKXsyAcvY
hello,Barista ASL Vocabulary.mp4,0,360,640,29.97,745,837,https://www.youtube.com/watch?v=Cgh1DXAQBuI
hello,Hello.mp4,0,360,640,29.97,0,52,https://www.youtube.com/watch?v=FVjpLa8GqeM
hello,How to sign Hello.mp4,0,360,640,25.0,0,49,https://www.youtube.com/watch?v=QB44Vddoi-w
hello,How are you.mp4,0,720,1280,29.97,235,372,https://www.youtube.com/watch?v=sEjaTTIdHhk
hello,Unit 01 Vocabulary.mp4,0,360,626,29.97,5800,5899,https://www.youtube.com/watch?v=25ymRY7hbjs
hello,ASL Unit One Vocabulary.mp4,0,360,640,29.97,4037,4116,https://www.youtube.com/watch?v=Eq6SnaimpzQ
hello,Greetings.mp4,0,720,406,28.922,0,138,https://www.youtube.com/watch?v=97WDRBCtj0o
hello,Unit 1 Vocabulary(2).mp4,0,360,640,29.97,366,413,https://www.youtube.com/watch?v=7YYB3BEoksc
hello,SN Unit 1 Video Vocab Review.mp4,0,360,640,29.97,308,441,https://www.youtube.com/watch?v=p8OYydc3WQM
hello,Unit 1 Vocabulary  ASL Level 1 - American Sign Language.mp4,0,720,1280,29.97,8752,8834,https://www.youtube.com/watch?v=uPKOwziViaw
hello,Hello - Asl.mp4,0,272,480,25.0,0,45,https://www.youtube.com/watch?v=7iuyJ84wvds
hello,Greeting B.mp4,0,720,1280,29.97,2959,3112,https://www.youtube.com/watch?v=D7UYn37qTkU
hello,Hello(1).mp4,0,360,640,17.134,0,70,https://www.youtube.com/watch?v=FbBdHdmt5oI
hello,HELLO(1).mp4,0,360,636,29.97,0,68,https://www.youtube.com/watch?v=RRzbB2rg4VM
please,Examples of Baby Sign Language.mp4,47,360,640,29.97,1622,1682,https://www.youtube.com/watch?v=6UrcyZ-QeiU
please,Examples of Baby Sign Language.mp4,47,360,640,29.97,1682,1762,https://www.youtube.com/watch?v=6UrcyZ-QeiU
please,Making Conversation Vocabulary  ASL - American Sign Language.mp4,47,360,640,29.97,2207,2331,https://www.youtube.com/watch?v=TDoqoJDX280
please,Basic Sign Language for Caregivers of the DeafHard of Hearing.mp4,47,360,640,29.97,6896,6976,https://www.youtube.com/watch?v=rkQZQhloXuE
please,ASL Vocabulary (Spring 2018).mp4,47,720,1280,29.97,3815,3959,https://www.youtube.com/watch?v=p36hZJQpLoQ
please,Permission.mp4,47,720,1280,29.97,2353,2433,https://www.youtube.com/watch?v=SI_7UivPW_I
please,Basic Sign Language for Caregivers of the DeafHard of Hearing.mp4,47,360,640,29.97,6796,6876,https://www.youtube.com/watch?v=rkQZQhloXuE
please,ASL Level 1 Unit 1 Vocabulary.mp4,47,720,1280,29.97,2056,2130,https://www.youtube.com/watch?v=FKp2hBhdj9k
please,Baby Sign Language Please.mp4,47,360,640,29.97,0,99,https://www.youtube.com/watch?v=wNS3kifA8-Y
please,Unit 2 Vocabularymp4.mp4,47,360,640,25.0,8958,9036,https://www.youtube.com/watch?v=Fz1I_Ssr3AE
please,Basic Sign Language for Caregivers (mealtime).mp4,47,360,640,29.97,1448,1508,https://www.youtube.com/watch?v=XtkDeYBnR8o
please,CCHS ASL Unit 1.mp4,47,720,960,29.97,10939,11118,https://www.youtube.com/watch?v=eXpXg4q-qEQ&t=170s
please,ASL Class 02-08-10.mp4,47,360,640,29.97,609,672,https://www.youtube.com/watch?v=-LB4ENHxcIs
